run;pdb;geom;detector distance;mode
116;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
117;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
118;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
119;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
120;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
121;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
122;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
123;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
124;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
125;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
126;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
127;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
128;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
129;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
136;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
137;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
138;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
139;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
140;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
141;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
142;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
143;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
144;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
145;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
146;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
147;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
148;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
149;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
150;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
151;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
152;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/6gth.pdb;/asap3/petra3/gpfs/p11/2020/data/11009046/processed/indexing/eiger16M-P11_200mm_sh1.geom;200;16M
